"site_barcode","local_date","nevents","naive_failure","nevents_overall_cluster_percent_log","nevents_overall_simple_percent_log","nevents_wd_cluster_percent_log","nevents_wd_simple_percent_log","duration","pf_overall_stl_seasonal_percent_log","pf_wd_simple_percent_log","flow_overall_stl_seasonal_percent_log","nevents_overall_stl_seasonal_percent_log","fail_next_week","pred_fail_next_week_SL","currently_failed","pred_currently_failed_SL","pred_fail_next_week_glm","pred_currently_failed_glm"
"4319","2016-06-14",60,FALSE,0.0645385211375712,0.0645385211375712,0.0645385211375712,0.0645385211375712,4501,0.0525563586892909,0.0525563586892909,0.318297022937638,0.0645385211375712,FALSE,0.0111664196723909,FALSE,0.000861941920417614,0.139952570068392,1.64710740425737e-08
"4319","2016-06-15",64,FALSE,0.0645385211375712,0.0645385211375712,0.0645385211375712,0.0645385211375712,5630,0.0525563586892909,0.0525563586892909,0.318297022937638,0.0645385211375712,FALSE,0.00530275889271959,FALSE,0.000861920946859606,0.137279050108126,1.02592981799607e-09
"4319","2016-06-16",58,FALSE,-0.0666913744986723,-0.0666913744986723,-0.0666913744986723,-0.0666913744986723,4806,-0.133816253599524,-0.133816253599524,-0.107148502015393,-0.0666913744986723,FALSE,0.0180073572486741,FALSE,0.000862107299883449,0.179537943921415,6.91679331712804e-10
"4319","2016-06-17",44,FALSE,-0.374693449441411,-0.321204764490425,-0.374693449441411,-0.321204764490425,2113,-0.325632043808725,-0.325632043808725,-1.12190200191905,-0.321204764490425,FALSE,0.0209391876385098,FALSE,0.000862009753614839,0.234693324237629,6.34247964606101e-08
"4319","2016-06-18",36,FALSE,-0.521875459952576,-0.450721699696285,-0.521875459952576,-0.450721699696285,3272,0.0778725684527861,0.0778725684527861,-0.244382965540304,-0.450721699696285,FALSE,0.027780125214793,FALSE,0.000862035772825587,0.191637859069038,5.74302313140886e-07
"4319","2016-06-19",109,FALSE,0.585953483820458,0.732441290902147,0.585953483820458,0.732441290902147,9362,-0.0380001285806946,-0.0380001285806946,0.814090412195112,0.732441290902147,FALSE,0.00725731248594337,FALSE,0.000862014950780237,0.0427722189316522,1.72799472795128e-09
"4319","2016-06-20",78,FALSE,-0.334639055539552,0.232266233310212,-0.334639055539552,0.232266233310212,6189,0.18221614010234,0.18221614010234,0.322818429496852,0.232266233310212,FALSE,0.00530275889271959,FALSE,0.000862011960247745,0.0195216244890653,1.88175118765197e-09
"4319","2016-06-21",42,FALSE,-0.800291818011273,-0.423443120403573,-0.356674943938732,-0.356674943938732,3944,0.287829023205633,0.237778553487093,-0.116916262600807,-0.423443120403573,FALSE,0.0443938307571951,FALSE,0.000862005605637348,0.0848806917300909,7.21044811638574e-09
"4319","2016-06-22",43,FALSE,-0.776761320601079,-0.355802470421122,-0.397682967666109,-0.397682967666109,2277,0.156935290026798,0.0951739697110384,-0.752330735733006,-0.355802470421122,FALSE,0.00530275889271959,FALSE,0.000862005337062399,0.0920931222421553,2.03524840954142e-08
"4319","2016-06-23",52,FALSE,-0.586717717713214,-0.131927543042548,-0.109199291964992,-0.109199291964992,4213,-0.0358730292080401,0.0808188263347739,-0.0849240430612887,-0.131927543042548,FALSE,0.00530275889271959,FALSE,0.000862001841668855,0.0931226780456524,7.10344895344341e-09
"4319","2016-06-24",77,FALSE,-0.194156014440958,0.273070725270717,0.559615787935423,0.559615787935423,5762,-0.0456593759927257,0.301964627716501,0.216761379910607,0.273070725270717,FALSE,0.0590529827063734,FALSE,0.000862001437668341,0.0564893080775177,5.8503320532018e-10
"4319","2016-06-25",66,FALSE,-0.287682072451781,0.0907750246389335,0.606135803570315,0.606135803570315,6138,-0.162683234436696,-0.150615439431772,0.165925951445618,0.0907750246389335,FALSE,0.00725731248594337,FALSE,0.000861999331622599,0.0483584135886332,3.22875470207726e-11
"4319","2016-06-26",97,FALSE,0.0973741640251764,0.467943896282725,-0.116636903725761,-0.116636903725761,9522,-2.94337260477192e-05,0.0992532834324358,0.741987990496943,0.467943896282725,FALSE,0.010189142875779,FALSE,0.000862143702422408,0.0876790078054875,2.22044604925031e-16
"4319","2016-06-27",56,FALSE,-0.477231906477841,-0.126293725324292,-0.331357135954442,-0.331357135954442,5565,-0.0965712501500815,-0.211273144722298,0.0560785992670388,-0.126293725324292,FALSE,0.00628003568933148,FALSE,0.000862059437687299,0.108378295547852,1.87368943122989e-10
"4319","2016-06-28",77,FALSE,-0.158778175359306,0.200670695462151,0.411979789129358,0.411979789129358,6615,-0.0750987122527988,-0.218325320335307,0.343636713208379,0.200670695462151,FALSE,0.010189142875779,FALSE,0.000862041052300713,0.043200455047964,4.01549936053365e-11
"4319","2016-06-29",89,FALSE,0.0158553717897942,0.330795495950912,0.508954715830179,0.508954715830179,8992,-0.0981057209175051,-0.119774128172548,0.817888848148013,0.500328437745606,FALSE,0.00530275889271959,FALSE,0.00086200356043513,0.0519347057354478,7.04898155102615e-12
"4319","2016-06-30",108,FALSE,0.206690147810912,0.500081084483013,0.674798041891749,0.674798041891749,7591,0.0737862815385125,0.0408081424270576,0.456994919832095,0.61391426326369,FALSE,0.00530275889271959,FALSE,0.000861998892384685,0.0319884967355943,2.22044604925031e-16
"4319","2016-07-01",66,FALSE,-0.318060107810953,-0.0298529631496812,0.0870113769896297,0.0870113769896297,4731,0.350503516589776,0.322095067316892,0.219877043299338,-0.0239368660476343,FALSE,0.00530275889271959,FALSE,0.000861998904477018,0.0561903352026357,1.06380982910592e-12
